ID,Kod Geran,Tajuk,Ketua Penyelidik,Kategori PI,Agensi,Peruntukan (RM),Kuartil,Verdict,Milestone_OK,Expenditure_OK,HCD_OK,Pub_OK,IPR_OK,Catatan_KPI,Kemajuan (%),Status
GRANT-001,FRGS/1/2025/STG01/UKM,"Pembangunan Bahan Termaju berasaskan Grafena untuk Sel Solar Perovskite","Prof. Dr. Ahmad Razali",PI,KPT,185000,Q1,CEMERLANG,true,true,true,true,true,"Semua indikator KPI dicapai mengikut jadual.",85,AKTIF
GRANT-002,MOSTI/TDF/2024/MECH-04,"Sistem Pemantauan Dron Pintar dengan Kecerdasan Buatan (AI) bagi Pertanian Jitu","Dr. Siti Nurhaliza Ismail",PI,MOSTI,450000,Q2,BEHIND_SCHEDULE,false,false,true,true,false,"Fasa integrasi perkakasan dron lewat 3 bulan. Perbelanjaan alatan tergendala.",45,AKTIF
GRANT-003,CRADLE/CIP500/2025/12,"Platform Logistik IoT berasaskan Rangkaian Blok (Blockchain)","Ir. Tan Kah Hock",NON_PI,CRADLE,350000,Q3,NEED_CLOSE_MONITORING,false,false,false,true,false,"Pengambilan pelajar PhD (HCD) dan permohonan paten (IPR) terlewat. Perlu pemantauan bulanan.",40,AKTIF
GRANT-004,PRGS/2/2024/TK05/UM,"Prototaip Kit Ujian Pantas Penyakit Bawaan Air berasaskan Bionanosensor","Prof. Madya Dr. Maria Zulkifli",PI,KPT,210000,Q4,CEMERLANG,true,true,true,true,true,"Paten telah difailkan dan 2 artikel Q1 telah diterbitkan.",92,AKTIF
GRANT-005,MDEC/DIGITAL/2025/88,"Pembangunan Ekosistem Analitik Data Kesihatan Kebangsaan","Encik Kavitha A/L Subramaniam",NON_PI,MDEC,600000,UNMONITORED,KRITIKAL,false,false,false,false,false,"Gagal menyerahkan laporan milestone dan perbelanjaan kewangan bagi suku ke-3.",15,DALAM_SEMAKAN
GRANT-006,MARA/TECH/2024/09,"Pusat Inkubator Keusahawanan Teknologi Robotik Automasi Industri","Dr. Khairul Azman",PI,MARA,280000,Q1,MEMUASKAN,true,true,true,false,true,"Penerbitan jurnal masih dalam peringkat penyediaan draft.",75,AKTIF
GRANT-007,FRGS/1/2024/WAB02/UTM,"Kajian Keselamatan Siber berasaskan Kuantum Cryptography","Dr. Lim Wei Chun",NON_PI,KPT,145000,UNMONITORED,BEHIND_SCHEDULE,false,false,false,false,false,"Projek ditangguhkan akibat pertukaran ahli pasukan penyelidik utama.",20,TANGGUH
GRANT-008,MOSTI/TIF/2025/BIO-02,"Pengeluaran Enzim Komersial berasaskan Sisa Kelapa Sawit","Prof. Dr. Zainab Hashim",PI,MOSTI,520000,Q2,NEED_CLOSE_MONITORING,true,false,true,false,false,"Kadar perbelanjaan rendah (<30%) dan tiada permohonan IPR lagi.",50,AKTIF
GRANT-009,CRADLE/SEED/2024/31,"Aplikasi Pasaran B2B bagi Bahan Binaan Lestari","Encik Amirul Syahmi",NON_PI,CRADLE,150000,Q3,BEHIND_SCHEDULE,false,false,true,true,false,"Kelewatan fasa pengujian pengguna dan pendaftaran harta intelek.",30,AKTIF
GRANT-010,FRGS/2/2023/SS01/UKM,"Kajian Impak Sosio-Ekonomi Pembelajaran Digital di Kawasan Luar Bandar","Dr. Farah Nabilah",PI,KPT,95000,Q4,CEMERLANG,true,true,true,true,true,"Semua sasaran KPI telah dilengkapkan dengan jaya.",100,SELESAI
